Industry Vertical,SubVertical,City  Location,InvestmentnType,Amount in USD,Amount
Technology,Online Video Creation Platform,Bengaluru,Seed/ Angel Funding,"3,00,000",3
Technology,Micro-Delivery Grocery Startup,Gurugram,Private Equity,"70,00,000",70
Finance,Micro Lending Platform,Bengaluru,Seed/ Angel Funding,"5,00,000",5
Consumer Internet,P2P Lending Platform,Bengaluru,Seed/ Angel Funding,"7,35,000",7.35
E-Commerce,Products For Shoolgoing Children,Bengaluru,Seed/ Angel Funding,"7,35,000",7.35
Finance,Housing Finance For Low-Income Families,Kolkata,Seed/ Angel Funding,"20,00,000",20
Education,Designer Of Toys and Learning Projects For Kids,Delhi,Seed/ Angel Funding,"20,00,000",20
Clean-Technology,Oxygen Optimiser Manufacturer,Delhi,Seed/ Angel Funding,"2,93,000",2.93
Consumer Internet,Online Insurance Platform,Mumbai,Seed/ Angel Funding,"1,20,00,000",120
Health and wellness,Home Health and wellness Aggregator,Mumbai,Seed/ Angel Funding,"2,00,000",2
Consumer Internet,Online Insurance Platform,Gurugram,Seed/ Angel Funding,"15,00,000",15
Technology,Mobile Payments Technology Platform,Bengaluru,Private Equity,"80,00,000",80
Technology,Iot Application Platform In Agriculture,Bengaluru,Private Equity,"1,40,00,000",140
Consumer Internet,Lending Platform For SMEs,Hyderabad,Seed/ Angel Funding,"13,000,00",#VALUE!
Consumer Internet,Online Fitness Discovey Platform,Mumbai,Private Equity,"20,00,000",20
Technology,Media Anlaytics Platform,Coimbatore,Seed / Angel Funding,"3,07,600",3.076
Consumer Internet,Online Loan Matchmaking Platform,Bengaluru,Seed / Angel Funding,"13,00,000",13
Finance,Loans and Services To Affordable Private Schools in India,Bengaluru,Private Equity,"5,50,00,000",550
Education,Online Education Platform,Hyderabad,Seed / Angel Funding,"1,50,000",1.5
Education,Interactive Online Tutoring Platform,Bangalore,Private Equity,"1,00,00,000",100
Fiinance,Digital Financial Services Platform,Chennai,Seed / Angel Funding,"28,00,000",28
Consumer Internet,Fashion Accessories Etailer,Mumbai,Seed / Angel Funding,"1,000,000,",#VALUE!
Education,Mobile-Based Education Network,Delhi,Seed / Angel Funding,"46,140",0.4614
Consumer Internet,Online Travel Marketplace,Gurugram,Private Equity,"1,20,00,000",120
Health and wellness,Platform To Discover Health and wellness Financing Options,Delhi,Seed / Angel Funding,"10,00,000",10
Finance,Online Lending Platform,Gurugram,Debt Funding,"46,000,00",#VALUE!
Finance,Online Lending Platform,Mumbai,Seed / Angel Funding,"20,00,000",20
Consumer Internet,Online Platform For Luxury Hotel Stay For Business Travelers,Delhi,Seed / Angel Funding,"5,00,000",5
Consumer Internet,Online Insurance Aggregator,Mumbai,Private Equity,"2,20,00,000",220
Technology,AI Based Expense Management Platform,Bengaluru,Seed / Angel Funding,"11,000,00",#VALUE!
Technology,Mobile Balance Checking App,Gurugram,Private Equity,"2,30,00,000",230
Health and wellness,Digitized Health-Technology Solutions For Practitioners,Mumbai,Seed / Angel Funding,"19,00,000",19
Consumer Internet,Beauty e-tailer,Mumbai,Private Equity,"1,10,00,000",110
Finance,Online Platform Providing Micro Loans For Air Travel,Mumbai,Seed / Angel Funding,"1,50,000",1.5
Finance,Online Lending Platform,Bengaluru,Private Equity,"2,20,00,000",220
Consumer Internet,Online Travel Marketplace,Delhi,Seed / Angel Funding,"2,46,000",2.46
Technology,Women Focussed Media Platform,Delhi,Private Equity,"55,00,000",55
Consumer Internet,Online Pharmacy Store,Gurugram,Private Equity,"1,00,00,000",100
Consumer Internet,Online Stock Broker,Mumbai,Private Equity,"75,00,000",75
Finance,B2C Online Loans Marketplace,Gurgaon,Seed / Angel Funding,"9,78,000",9.78
Consumer Internet,Online Scholarship Portal,Noida,Private Equity,"30,00,000",30
E-Commerce,Online Furniture Store,Bengaluru,Private Equity,"1,20,00,000",120
Consumer Internet,Online Financial Planning,Bengaluru,Seed / Angel Funding,"2,50,000",2.5
Technology,Agri-Technology,Indore,Seed/Angel Funding,"10,00,000",10
Health and wellness,Therapeutics,Mumbai,Private Equity,"21,00,000",21
Health and wellness,"Genetic Screening, DNA Diagnostics Labs & Research Centers",Bengaluru,Private Equity,"1,00,00,000",100
Consumer Internet,Online Lending,Jaipur,Private Equity,"60,00,000",60
Technology,Cloud based Online Hotel Management Software,Noida,Private Equity,"50,00,000",50
Consumer Internet,Health Service Aggregator Platform,Pune,Seed / Angel Funding,"11,00,000",11
Technology,"Creative Design, Brand, Media and Technology Platform Solutions",Chennai,Debt Funding,"97,00,000",97
Consumer Internet,Online Insurance Aggregator,Mumbai,Private Equity,"76,00,000",76
Consumer Internet,Online Furniture Shopping Store,Mumbai,Private Equity,"3,84,00,000",384
Consumer Internet,Hyperlocal Discovery,Gurugram,Debt Funding,"10,00,000",10
Consumer Internet,Health and wellness Aggregator,Mumbai,Seed / Angel Funding,"10,00,000",10
Technology,Digital Payment Platform,Mumbai,Private Equity,"8,20,00,000",820
Consumer Internet,Online Lending Platform,Bengaluru,Private Equity,"1,72,00,000",172
Consumer Internet,Online Grocery Shop,Gurugram,Private Equity,"6,20,00,000",620
Consumer Internet,Ready To cook Food Solution,Mumbai,Debt Funding,"13,10,000",13.1
Health and wellness,Technology enabled equitable Health and wellness for India,Udaipur,Seed / Angel Funding,"5,00,000",5
Food & Beverages,Online Raw Meat E-tailer,Gurugram,Seed / Angel Funding,"30,00,000",30
Technology,Customer Success Software for B2B SaaS,Gurugram,Seed / Angel Funding,"10,00,000",10
Technology,Subscription Billing & Recurring Payments Software,Chennai,Private Equity,"1,80,00,000",180
Consumer Internet,Online loan platform,Noida,Seed / Angel Funding,"7,68,000",7.68
Technology,Voice-based assistant platform,Bengaluru,Seed / Angel Funding,"12,40,000",12.4
Consumer Internet,Online loan platform,Delhi,Seed / Angel Funding,"10,00,000",10
Technology,Fleet management and asset monitoring platform,Delhi,Private Equity,"2,50,000",2.5
Finance,Micro lending company,Bengaluru,Seed / Angel Funding,"20,00,000",20
Media,News portal,Delhi,Seed / Angel Funding,"5,35,000",5.35
Technology,Professional Car Drivers Hiring App,Bengaluru,Private Equity,"30,00,000",30
Consumer Internet,Online Grocery & Food Store,Bengaluru,Private Equity,"30,00,00,000",3000
Food & Beverages,Food Ordering and Restaurant Discovery,Gurugram,Private Equity,"20,00,00,000",2000
Publishing,E-Publishing,Bengaluru,Private Equity,"43,00,000",43
Health and wellness,Super-specialty Hospital,Faridabad,Private Equity,"2,10,00,000",210
Consumer Internet,Online platform for Higher Education Services,Gurugram,Private Equity,"20,00,000",20
Health and wellness,Preventive Health Checkup,Bengaluru,Private Equity,"31,00,000",31
Food & Beverages,Online Food Delivery,Bengaluru,Private Equity,"10,00,00,000",1000
Health and wellness,"Online Portal for Diet,fitness and Beauty",Pune,Seed / Angle Funding,"10,00,00,000",1000
Consumer Internet,Enterprise Contract Management Platform,Pune,Private Equity,"5,00,00,000",500
Health and wellness,Mobile Weight Loss Coach,Bengaluru,Private Equity,"1,20,00,000",120
Consumer Internet,Online Gold Loan,Bengaluru,Private Equity,"68,30,000",68.3
Finance,Online Lending Platform,Bengaluru,Private Equity,"8,70,00,000",870
E-Commerce,Online Selling,Gurugram,Debt Funding,"9,35,089",9.35089
Food & Beverages,Online Food Delivery,Mumbai,Seed / Angle Funding,"3,11,200",3.112
Education,Individualised Progressive Learning Program,Bengaluru,Private Equity,"1,35,00,000",135
Education,Online Education Platform,Chennai,Private Equity,"30,00,000",30
Education,Online Education Platform,Mumbai,Private Equity,"1,00,000",1
Education,Integrated Kids Engagement Company,Mumbai,Private Equity,"5,00,000",5
Technology,mobile payment platform,Mumbai,Private Equity,"50,00,000",50
Consumer Internet,Online Pet Care Products,Gurugram,Seed / Angel Funding,"1,48,434",1.48434
E-Commerce,Online Retailing,Ahemadabad,Private Equity,"62,30,000",62.3
Finance,Expense Management,Bengaluru,Seed / Angel Funding,"2,50,000",2.5
Finance,Finance,Mumbai,Seed / Angel Funding,"1,50,000",1.5
Finance,Online Lending,Gurugram,Private Equity,"38,00,000",38
Agriculture,Agri-Technology,Mumbai,Seed / Angel Funding,"5,00,000",5
E-Commerce,B2B Marketplace,Bengaluru,Private Equity,"5,00,00,000",500
IT,SaaS,Bengaluru,Private Equity,"2,00,00,000",200
Health and wellness,Analytics,Gurugram,Private Equity,"21,00,000",21
Education,Education,Delhi,Private Equity,"7,72,500",7.725
Technology,Robotic InspectionStartup,Chennai,Private Equity,"10,40,000",10.4
Technology,AI platform for hospitality industry,Mumbai,Seed / Angel Funding,"2,50,000",2.5
