hours-per-week,education,workclass,age,YearofExperience,fnlwgt
25,Some-college,Private,18,1.8,219256
30,Some-college,Private,19,1.9,248730
40,Some-college,Private,41,4.1,110732
40,HS-grad,Private,41,4.1,181020
25,HS-grad,Private,69,6.9,183791
40,Doctorate,Federal-gov,48,4.8,42972
40,HS-grad,Private,28,2.8,134813
60,HS-grad,Self-emp-not-inc,27,2.7,115438
50,Masters,Private,41,4.1,239296
40,Some-college,Private,41,4.1,428420
40,HS-grad,Private,24,2.4,247846
40,HS-grad,?,20,2,334105
41,Doctorate,Self-emp-inc,42,4.2,100793
48,HS-grad,Private,57,5.7,244478
40,Assoc-acdm,Private,30,3,142921
60,HS-grad,Private,36,3.6,182863
40,7th-8th,Private,49,4.9,171128
35,HS-grad,Private,33,3.3,145402
40,10th,Private,23,2.3,306309
40,Masters,Private,46,4.6,83822
22,Some-college,Private,18,1.8,262118
55,HS-grad,Private,40,4,155972
45,HS-grad,Self-emp-inc,43,4.3,214503
30,Masters,Private,34,3.4,159303
30,HS-grad,Self-emp-not-inc,47,4.7,174995
30,Assoc-voc,Private,44,4.4,26669
40,HS-grad,Private,33,3.3,177727
50,Bachelors,Private,55,5.5,124771
30,HS-grad,Private,19,1.9,456736
14,Some-college,Private,28,2.8,216604
32,11th,Private,27,2.7,221561
20,7th-8th,Private,50,5,114564
40,11th,Private,22,2.2,315476
45,Bachelors,State-gov,40,4,67874
40,Some-college,Private,25,2.5,126110
40,HS-grad,Local-gov,26,2.6,102264
25,Bachelors,Private,22,2.2,537222
40,Some-college,Private,42,4.2,113732
40,Bachelors,Self-emp-inc,38,3.8,93225
30,11th,Private,55,5.5,43064
40,HS-grad,Private,32,3.2,136921
45,HS-grad,Private,22,2.2,388885
40,Bachelors,Private,29,2.9,142249
45,Masters,State-gov,46,4.6,56841
40,Some-college,Private,31,3.1,156493
16,Doctorate,Self-emp-not-inc,58,5.8,159021
45,HS-grad,Private,42,4.2,190910
25,HS-grad,Private,18,1.8,41879
33,HS-grad,Local-gov,58,5.8,137249
40,HS-grad,Private,54,5.4,236157
40,Masters,Private,34,3.4,189759
40,Bachelors,Private,26,2.6,239877
60,12th,Private,61,6.1,21175
40,Masters,Local-gov,48,4.8,67229
45,Some-college,Private,36,3.6,236391
45,Assoc-voc,Private,24,2.4,325596
37,Some-college,Private,40,4,83411
50,HS-grad,Self-emp-inc,33,3.3,154227
40,Some-college,Private,37,3.7,248010
40,Masters,Private,34,3.4,198613
40,Some-college,Self-emp-inc,56,5.6,321529
38,HS-grad,?,28,2.8,168524
55,Bachelors,Private,37,3.7,203079
40,HS-grad,Private,44,4.4,284652
8,Some-college,?,64,6.4,201368
45,HS-grad,Private,54,5.4,59840
50,HS-grad,Private,23,2.3,52753
40,Bachelors,State-gov,34,3.4,513100
45,HS-grad,Private,22,2.2,199266
40,Bachelors,Private,33,3.3,196385
50,Bachelors,Private,39,3.9,163205
37,Some-college,Private,47,4.7,411047
40,7th-8th,?,79,7.9,48574
55,HS-grad,Private,26,2.6,209440
40,Some-college,Private,31,3.1,56964
45,Some-college,Private,44,4.4,299197
50,Prof-school,Self-emp-inc,42,4.2,240628
40,HS-grad,Private,19,1.9,355313
40,HS-grad,Private,27,2.7,132267
40,Some-college,Local-gov,51,5.1,174861
50,Bachelors,Self-emp-inc,28,2.8,142443
45,Bachelors,Private,57,5.7,26716
40,Bachelors,Local-gov,45,4.5,185588
40,Assoc-voc,Private,50,5,175029
54,Bachelors,Self-emp-inc,34,3.4,34848
40,7th-8th,Private,45,4.5,411273
20,HS-grad,Local-gov,73,7.3,143437
50,Bachelors,Private,34,3.4,357145
55,Some-college,Private,31,3.1,236861
12,11th,Private,19,1.9,53355
50,Some-college,Private,25,2.5,29106
40,Assoc-voc,Federal-gov,38,3.8,213274
40,Bachelors,Private,39,3.9,22463
32,Bachelors,Private,23,2.3,180497
40,HS-grad,Private,49,4.9,37306
32,HS-grad,Federal-gov,33,3.3,137814
38,5th-6th,Private,21,2.1,447488
40,Assoc-voc,Private,31,3.1,220915
45,Bachelors,Private,23,2.3,42251
40,Bachelors,Private,34,3.4,162312
40,HS-grad,Private,25,2.5,77698
40,HS-grad,Private,39,3.9,282951
40,HS-grad,Self-emp-inc,52,5.2,311259
40,9th,Local-gov,63,6.3,65479
40,Some-college,Private,41,4.1,277256
38,Bachelors,Private,46,4.6,312088
40,HS-grad,Local-gov,53,5.3,169719
40,9th,?,25,2.5,270276
35,Some-college,?,77,7.7,172744
40,12th,Private,18,1.8,96869
50,Prof-school,Private,38,3.8,237943
50,Masters,Private,55,5.5,119751
40,HS-grad,Private,34,3.4,236861
30,HS-grad,Self-emp-not-inc,80,8,201092
60,Assoc-voc,Private,34,3.4,147215
40,Some-college,Private,52,5.2,152373
28,HS-grad,Private,42,4.2,227968
40,Some-college,Private,26,2.6,362617
40,HS-grad,Private,31,3.1,103435
35,HS-grad,Local-gov,25,2.5,281412
60,HS-grad,Self-emp-not-inc,55,5.5,105239
12,Some-college,Private,19,1.9,230165
32,Some-college,Self-emp-not-inc,62,6.2,177493
20,Some-college,Federal-gov,22,2.2,104443
50,HS-grad,?,39,3.9,110342
40,HS-grad,Private,35,3.5,143385
40,HS-grad,Private,28,2.8,107189
70,HS-grad,Private,47,4.7,212944
40,HS-grad,State-gov,44,4.4,138634
15,Some-college,Private,21,2.1,99970
50,Assoc-voc,Private,35,3.5,203717
40,Bachelors,Private,24,2.4,313956
40,Bachelors,Federal-gov,42,4.2,177937
50,Bachelors,Private,28,2.8,193868
35,Some-college,Private,21,2.1,250939
40,Some-college,Federal-gov,62,6.2,57629
40,HS-grad,Private,39,3.9,281768
40,HS-grad,State-gov,30,3,260782
20,Prof-school,Self-emp-not-inc,72,7.2,243769
50,Some-college,Private,50,5,109937
40,Masters,Local-gov,28,2.8,134890
40,Some-college,Private,29,2.9,100293
40,Bachelors,Private,26,2.6,132179
40,Masters,Private,27,2.7,116372
40,Some-college,Private,29,2.9,255412
40,HS-grad,?,61,6.1,195789
25,10th,Private,29,2.9,342400
30,Some-college,?,21,2.1,65481
20,11th,Private,31,3.1,169085
75,HS-grad,Private,25,2.5,177221
40,10th,Private,58,5.8,65325
40,Some-college,Private,64,6.4,118944
38,Masters,State-gov,46,4.6,149337
35,HS-grad,?,53,5.3,237868
35,HS-grad,Private,19,1.9,106183
52,HS-grad,Private,42,4.2,226388
24,11th,Private,18,1.8,220754
50,Bachelors,Self-emp-inc,58,5.8,204021
60,Some-college,Private,20,2,347391
40,HS-grad,Federal-gov,35,3.5,413930
38,HS-grad,Private,32,3.2,174201
25,HS-grad,Private,23,2.3,145917
40,Some-college,Private,31,3.1,241797
55,Bachelors,Private,33,3.3,265168
48,Some-college,Private,41,4.1,171234
40,HS-grad,Private,22,2.2,178452
40,Some-college,Private,46,4.6,157857
40,Some-college,Federal-gov,61,6.1,512864
40,HS-grad,Private,30,3,296462
55,HS-grad,Private,42,4.2,171615
40,10th,Private,63,6.3,214071
40,Some-college,Private,26,2.6,172421
40,10th,Private,42,4.2,195488
40,Some-college,Private,23,2.3,316841
40,HS-grad,Private,25,2.5,236267
32,9th,Private,30,3,236543
40,HS-grad,Private,23,2.3,318483
60,Assoc-voc,Self-emp-not-inc,34,3.4,163756
48,HS-grad,Private,30,3,238186
40,Some-college,Private,39,3.9,329980
38,11th,Private,30,3,169269
38,Some-college,Local-gov,38,3.8,34744
40,HS-grad,Private,26,2.6,98114
16,Some-college,Private,20,2,109667
40,Bachelors,Local-gov,37,3.7,263690
40,HS-grad,Private,33,3.3,147430
40,Bachelors,Private,24,2.4,224238
60,Bachelors,Self-emp-inc,42,4.2,212894
84,HS-grad,Self-emp-not-inc,51,5.1,136708
45,Assoc-acdm,Local-gov,56,5.6,38573
40,Some-college,Private,22,2.2,197200
60,Some-college,Self-emp-not-inc,52,5.2,182796
45,Bachelors,Private,44,4.4,184527
35,HS-grad,Private,34,3.4,145231
42,Some-college,Private,51,5.1,43354
40,Some-college,?,20,2,318865
25,Some-college,Private,19,1.9,355712
40,Bachelors,Private,37,3.7,98776
40,HS-grad,Private,68,6.8,257557
40,Some-college,Private,22,2.2,102258
40,Bachelors,Self-emp-inc,56,5.6,170287
40,HS-grad,Private,37,3.7,243409
40,1st-4th,Private,52,5.2,55608
40,HS-grad,Private,26,2.6,248057
50,Masters,Private,33,3.3,95530
42,Masters,Local-gov,45,4.5,54038
15,11th,Private,18,1.8,161245
60,Some-college,Self-emp-not-inc,43,4.3,388725
50,Doctorate,Self-emp-not-inc,64,6.4,71807
20,HS-grad,Private,18,1.8,228216
45,Some-college,?,20,2,303121
40,HS-grad,Private,57,5.7,78020
42,HS-grad,Private,41,4.1,249254
50,Masters,Private,34,3.4,87218
40,HS-grad,Private,19,1.9,304299
55,9th,Private,44,4.4,196234
40,10th,Private,56,5.6,197875
80,HS-grad,Self-emp-inc,36,3.6,48063
48,Bachelors,Private,48,4.8,253596
40,HS-grad,Private,29,2.9,39257
40,Bachelors,Private,33,3.3,56150
40,5th-6th,Private,31,3.1,179415
45,Masters,Private,39,3.9,252445
40,HS-grad,Private,66,6.6,275918
50,Bachelors,Private,27,2.7,106562
40,HS-grad,Private,39,3.9,198654
50,7th-8th,Private,59,5.9,107318
40,HS-grad,Private,26,2.6,181896
40,Assoc-voc,Private,31,3.1,106014
40,HS-grad,?,45,4.5,319993
30,HS-grad,Private,23,2.3,197997
40,HS-grad,Local-gov,36,3.6,173542
12,Some-college,Private,34,3.4,207564
84,HS-grad,Private,32,3.2,224462
50,Bachelors,Private,37,3.7,123361
45,Bachelors,Private,33,3.3,90409
80,Prof-school,Self-emp-not-inc,50,5,165001
40,Assoc-acdm,Federal-gov,32,3.2,149573
40,Bachelors,Private,35,3.5,249456
40,11th,Private,37,3.7,149898
60,Some-college,Private,44,4.4,292985
25,Some-college,Private,57,5.7,50223
40,Some-college,Local-gov,29,2.9,400074
50,HS-grad,Private,55,5.5,197399
25,Prof-school,Self-emp-inc,43,4.3,209547
70,Some-college,Private,43,4.3,52433
60,Some-college,Self-emp-not-inc,45,4.5,355978
8,Masters,Self-emp-not-inc,33,3.3,48214
40,10th,Private,26,2.6,190873
68,Some-college,Private,23,2.3,278390
40,7th-8th,Private,41,4.1,203217
40,HS-grad,Private,24,2.4,279175
44,Bachelors,Self-emp-not-inc,47,4.7,194590
45,HS-grad,Self-emp-not-inc,34,3.4,198813
40,HS-grad,Private,40,4,187294
40,Bachelors,Private,28,2.8,302903
40,HS-grad,Private,24,2.4,154835
10,Some-college,?,73,7.3,73402
15,HS-grad,Private,23,2.3,100345
40,HS-grad,Self-emp-not-inc,43,4.3,126320
40,Bachelors,Private,26,2.6,142226
35,Doctorate,Self-emp-not-inc,58,5.8,112076
35,HS-grad,Private,52,5.2,225339
99,11th,Private,29,2.9,211208
35,11th,Private,47,4.7,200808
37,HS-grad,Private,49,4.9,220618
40,11th,Private,40,4,210493
40,HS-grad,Self-emp-not-inc,62,6.2,369734
55,HS-grad,Private,49,4.9,27898
50,Bachelors,Private,50,5,138193
40,HS-grad,Private,31,3.1,224234
50,Masters,Local-gov,48,4.8,188741
40,HS-grad,Private,24,2.4,183772
40,HS-grad,?,41,4.1,155041
60,HS-grad,Private,37,3.7,79586
45,Bachelors,Private,45,4.5,355781
16,HS-grad,?,63,6.3,156158
45,Masters,Private,36,3.6,116358
40,Bachelors,Private,45,4.5,59287
40,Bachelors,Private,41,4.1,138868
20,Assoc-acdm,Private,26,2.6,185885
25,11th,Private,17,1.7,40299
36,HS-grad,Private,27,2.7,500068
65,HS-grad,Private,43,4.3,51494
55,HS-grad,Private,35,3.5,179481
40,Bachelors,Private,38,3.8,365907
40,HS-grad,Private,26,2.6,284343
40,Some-college,Private,28,2.8,204862
24,Bachelors,Private,38,3.8,272476
40,11th,Private,36,3.6,175130
40,HS-grad,Private,33,3.3,118941
70,HS-grad,Private,19,1.9,164339
25,Assoc-acdm,?,22,2.2,213291
40,10th,Federal-gov,42,4.2,55457
40,10th,Private,50,5,280292
30,HS-grad,Private,30,3,446894
40,Some-college,State-gov,37,3.7,67083
40,Prof-school,Self-emp-inc,54,5.4,159219
40,Bachelors,Self-emp-inc,52,5.2,168539
40,1st-4th,Private,65,6.5,88145
40,HS-grad,Private,33,3.3,150309
40,Some-college,Private,25,2.5,122999
45,Bachelors,Private,24,2.4,302195
40,Assoc-voc,Private,26,2.6,210982
40,HS-grad,Private,39,3.9,177140
40,HS-grad,Private,59,5.9,113838
40,Some-college,Private,29,2.9,97165
45,11th,Private,47,4.7,104301
35,Some-college,?,23,2.3,192028
50,HS-grad,Self-emp-inc,64,6.4,115931
20,HS-grad,Private,21,2.1,147280
40,Some-college,Private,32,3.2,185433
37,HS-grad,Private,26,2.6,599057
20,Some-college,?,19,1.9,50626
40,Masters,Self-emp-not-inc,62,6.2,71467
55,Bachelors,Private,32,3.2,183977
5,10th,?,75,7.5,26586
60,HS-grad,Self-emp-not-inc,45,4.5,196858
50,Bachelors,Private,31,3.1,160594
40,HS-grad,Private,32,3.2,65278
40,Bachelors,Private,24,2.4,102258
40,Bachelors,Private,25,2.5,196947
60,HS-grad,Self-emp-not-inc,41,4.1,233150
20,Some-college,Private,18,1.8,42857
55,Doctorate,Private,44,4.4,118059
50,Some-college,Private,40,4,169262
40,Bachelors,Private,27,2.7,95108
40,Bachelors,Private,23,2.3,161092
40,Some-college,Private,21,2.1,345253
40,HS-grad,State-gov,37,3.7,111275
48,HS-grad,Self-emp-not-inc,65,6.5,178878
40,Masters,Federal-gov,43,4.3,157237
44,HS-grad,Private,45,4.5,155664
40,Bachelors,State-gov,24,2.4,322658
42,Some-college,Private,24,2.4,208503
35,Some-college,Local-gov,19,1.9,223326
65,Bachelors,Private,37,3.7,20308
35,HS-grad,Private,24,2.4,124751
40,Some-college,Private,34,3.4,113364
39,HS-grad,State-gov,50,5,196900
40,HS-grad,Private,36,3.6,168170
60,Bachelors,Private,39,3.9,205338
38,7th-8th,Self-emp-not-inc,44,4.4,98806
40,HS-grad,State-gov,45,4.5,226452
40,11th,State-gov,32,3.2,479179
40,Masters,Federal-gov,47,4.7,471990
40,HS-grad,Private,50,5,44728
40,Assoc-voc,Private,32,3.2,33117
40,HS-grad,Private,19,1.9,264876
20,Some-college,?,19,1.9,47235
10,Masters,State-gov,28,2.8,293628
50,HS-grad,Private,28,2.8,193122
40,Masters,Federal-gov,39,3.9,149347
40,Some-college,Private,21,2.1,129172
75,Some-college,Self-emp-not-inc,73,7.3,151255
40,7th-8th,Private,39,3.9,98886
40,Some-college,Private,25,2.5,238673
20,Some-college,Private,31,3.1,137991
32,Some-college,Private,51,5.1,85942
28,Bachelors,Private,39,3.9,85783
40,Bachelors,Private,31,3.1,174789
17,Some-college,Private,21,2.1,457162
50,Bachelors,Private,46,4.6,176026
35,HS-grad,Private,73,7.3,88594
40,HS-grad,Private,41,4.1,311101
40,HS-grad,Private,20,2,273989
30,Assoc-acdm,Private,27,2.7,370242
35,Bachelors,Private,24,2.4,194630
40,Some-college,Private,20,2,313817
40,Assoc-voc,Private,39,3.9,195843
28,Bachelors,Private,27,2.7,203160
60,11th,Private,33,3.3,175856
40,HS-grad,Private,33,3.3,75435
40,9th,State-gov,36,3.6,291676
36,Some-college,Private,55,5.5,192869
40,Some-college,Private,19,1.9,124464
60,HS-grad,Private,35,3.5,98776
40,5th-6th,Private,34,3.4,107960
35,Prof-school,State-gov,62,6.2,312286
40,Some-college,Self-emp-not-inc,33,3.3,48520
55,9th,Private,39,3.9,224541
40,Some-college,Local-gov,36,3.6,237713
33,Bachelors,Private,41,4.1,309990
60,HS-grad,Self-emp-not-inc,39,3.9,37019
10,HS-grad,?,38,3.8,48976
10,HS-grad,Private,18,1.8,170183
45,Some-college,Private,61,6.1,142988
36,Assoc-voc,Federal-gov,20,2,163205
65,HS-grad,Self-emp-not-inc,35,3.5,455379
40,HS-grad,Private,27,2.7,104423
38,10th,Private,66,6.6,104936
40,HS-grad,Private,21,2.1,542610
18,Some-college,Private,20,2,208117
40,Some-college,Private,34,3.4,105141
50,5th-6th,Private,63,6.3,156120
40,HS-grad,?,20,2,38455
40,HS-grad,Private,31,3.1,213339
60,Doctorate,Private,41,4.1,177989
45,1st-4th,State-gov,64,6.4,107732
40,Bachelors,Private,32,3.2,312403
50,HS-grad,Local-gov,30,3,176992
72,Bachelors,Self-emp-not-inc,36,3.6,84294
12,Some-college,Private,22,2.2,143062
50,Some-college,Local-gov,53,5.3,139671
40,HS-grad,Private,50,5,116814
40,Bachelors,Private,36,3.6,37778
40,11th,Self-emp-inc,41,4.1,240900
35,Bachelors,Private,55,5.5,202652
50,Bachelors,Private,38,3.8,52187
50,Bachelors,Private,28,2.8,349751
37,Bachelors,Local-gov,24,2.4,238384
40,Some-college,Private,60,6,209844
40,10th,Private,54,5.4,333301
60,HS-grad,Self-emp-inc,27,2.7,214974
30,Masters,Private,30,3,113453
45,HS-grad,Private,54,5.4,162238
40,Some-college,Private,44,4.4,98779
60,HS-grad,Private,52,5.2,165001
20,11th,Private,18,1.8,78528
50,7th-8th,Private,55,5.5,353881
50,Bachelors,Private,35,3.5,251396
40,Bachelors,Private,37,3.7,178100
40,Some-college,Private,22,2.2,416165
45,Bachelors,Private,45,4.5,177536
60,Bachelors,Private,38,3.8,203717
40,Bachelors,Private,48,4.8,107231
40,Assoc-voc,Private,35,3.5,106448
50,Assoc-voc,Private,21,2.1,196816
60,HS-grad,Self-emp-not-inc,37,3.7,191342
25,11th,Private,18,1.8,170194
35,10th,Private,26,2.6,113587
50,Bachelors,Self-emp-inc,48,4.8,72425
40,Some-college,Private,51,5.1,217480
40,Some-college,Private,52,5.2,120914
40,Bachelors,State-gov,32,3.2,33945
60,Bachelors,Self-emp-not-inc,39,3.9,199753
40,Bachelors,Private,51,5.1,144284
50,Bachelors,Private,54,5.4,53833
25,Some-college,Private,21,2.1,151158
40,HS-grad,Private,43,4.3,125577
40,Some-college,Private,32,3.2,242323
35,Masters,State-gov,31,3.1,195181
8,HS-grad,?,73,7.3,145748
60,Some-college,Private,26,2.6,341672
40,HS-grad,Private,35,3.5,116369
54,5th-6th,Private,73,7.3,113446
40,Bachelors,Self-emp-not-inc,25,2.5,121285
65,Assoc-voc,Self-emp-not-inc,58,5.8,25124
37,HS-grad,Private,32,3.2,182274
40,Bachelors,Private,28,2.8,103548
30,Masters,Self-emp-not-inc,41,4.1,38434
48,HS-grad,Self-emp-not-inc,53,5.3,317313
35,HS-grad,Private,49,4.9,177543
40,Bachelors,Private,55,5.5,139834
50,Some-college,Private,29,2.9,118478
80,Assoc-voc,Self-emp-not-inc,28,2.8,147951
45,HS-grad,Private,44,4.4,201734
45,Masters,Private,41,4.1,198196
45,Assoc-voc,Private,26,2.6,141876
40,HS-grad,Private,23,2.3,325179
40,Bachelors,Self-emp-not-inc,37,3.7,143774
50,Bachelors,Private,23,2.3,152328
40,Some-college,Private,33,3.3,479600
40,HS-grad,Private,44,4.4,180599
30,Some-college,Private,21,2.1,448026
40,11th,Private,36,3.6,300333
40,Bachelors,Local-gov,44,4.4,184105
40,HS-grad,Private,23,2.3,202084
40,HS-grad,Private,26,2.6,29515
40,5th-6th,Private,32,3.2,247328
40,Some-college,Private,31,3.1,188246
35,HS-grad,Local-gov,50,5,105788
20,Some-college,Self-emp-inc,18,1.8,352640
50,Bachelors,Private,49,4.9,132576
40,HS-grad,Private,59,5.9,128829
28,HS-grad,Private,38,3.8,93140
55,Some-college,Self-emp-inc,50,5,155965
55,Some-college,Self-emp-inc,51,5.1,335902
35,Some-college,Private,22,2.2,158522
40,HS-grad,Private,54,5.4,174806
40,HS-grad,Private,37,3.7,32207
60,Bachelors,Private,31,3.1,43607
40,Bachelors,State-gov,67,6.7,168224
40,11th,?,43,4.3,180318
40,Some-college,Private,21,2.1,311376
40,HS-grad,Private,30,3,101562
50,Some-college,Local-gov,32,3.2,267859
40,Assoc-voc,Private,36,3.6,86143
40,Bachelors,Local-gov,33,3.3,217304
56,HS-grad,Private,37,3.7,410034
48,Prof-school,Private,29,2.9,293073
30,Some-college,?,18,1.8,39493
40,Some-college,Private,26,2.6,247425
40,7th-8th,Private,51,5.1,128338
40,HS-grad,Private,39,3.9,189344
30,HS-grad,Private,18,1.8,366154
40,12th,Private,52,5.2,163051
40,Some-college,Private,31,3.1,437200
53,Bachelors,Private,45,4.5,323798
38,Some-college,Private,38,3.8,182570
35,Assoc-acdm,Private,21,2.1,200318
40,HS-grad,Private,33,3.3,48520
40,Some-college,Private,39,3.9,130007
40,HS-grad,Private,31,3.1,166248
50,Bachelors,Private,43,4.3,203554
10,Bachelors,?,64,6.4,192715
45,Bachelors,Self-emp-inc,33,3.3,291333
60,HS-grad,Self-emp-not-inc,49,4.9,39140
40,HS-grad,Private,41,4.1,266439
40,Some-college,Self-emp-not-inc,55,5.5,126840
37,Some-college,Private,52,5.2,166419
40,Bachelors,Private,42,4.2,287129
30,Some-college,Private,24,2.4,206827
52,HS-grad,Private,42,4.2,173888
40,Bachelors,State-gov,41,4.1,253250
40,HS-grad,Private,35,3.5,337239
10,5th-6th,?,71,7.1,113445
42,Masters,Federal-gov,54,5.4,201127
40,5th-6th,Private,24,2.4,403107
40,HS-grad,?,59,5.9,179078
40,11th,?,30,3,126402
40,Bachelors,Federal-gov,57,5.7,223892
40,Masters,State-gov,58,5.8,191318
40,HS-grad,Private,32,3.2,394708
25,HS-grad,Private,22,2.2,119474
25,HS-grad,Private,20,2,419984
40,Bachelors,?,60,6,164730
40,HS-grad,Private,51,5.1,190678
20,HS-grad,Local-gov,26,2.6,197897
40,11th,Private,33,3.3,286675
40,10th,Private,19,1.9,191986
20,HS-grad,Self-emp-not-inc,50,5,90525
40,HS-grad,Private,32,3.2,56150
40,Bachelors,Local-gov,51,5.1,248327
20,Some-college,Private,18,1.8,90860
50,Masters,Federal-gov,35,3.5,104858
25,Some-college,?,22,2.2,228686
55,HS-grad,Private,46,4.6,196707
45,HS-grad,Private,37,3.7,29430
20,Some-college,Private,45,4.5,54038
32,9th,Private,63,6.3,281025
10,HS-grad,Private,53,5.3,258832
40,HS-grad,Private,24,2.4,131220
29,11th,?,65,6.5,190454
32,Assoc-acdm,Private,43,4.3,315971
40,HS-grad,Private,47,4.7,265097
40,HS-grad,Private,41,4.1,185057
40,HS-grad,Private,27,2.7,169557
75,HS-grad,Self-emp-inc,35,3.5,333636
24,Some-college,Private,19,1.9,181652
35,Some-college,Private,47,4.7,34307
40,Bachelors,Federal-gov,25,2.5,198813
40,Prof-school,Local-gov,59,5.9,240030
40,10th,Private,28,2.8,226089
20,10th,Private,17,1.7,190941
50,Some-college,Private,21,2.1,160261
40,HS-grad,Private,31,3.1,208458
40,HS-grad,Private,49,4.9,112761
50,Masters,Local-gov,48,4.8,67716
